"Count","Name"
"1","FT. LOUNDON RES"
"1","SPRING CREEK"
"1","FT. PATICK HENRY RES"
"1","DICKSON CITY LAKE"
"1","DOE RIVER"
"1","HESSE CREEK"
"1","WATTS BAR DAM"
"1","GREAT FALLS RES"
"1","MEADS QUARRY"
"1","DUNBAR CAVE STATE PARK"
"1","ACORN LAKE"
"1","STEEL CREEK PARK LAKE"
"1","HIDDEN MOUNTAIN RESORT"
"1","LINGER LAKE"
"1","CROTCHFIELD LAKE"
"1","LAKE LOGAN"
"1","LYNN PRONG"
